,0,ACC
0,1115.0,1.0
1,1155.0,1.0
2,1131.0,1.0
3,1180.0,1.0
4,1152.0,1.0
5,1174.0,1.0
6,1155.0,1.0
7,1139.0,1.0
8,1160.0,1.0
9,1119.0,1.0
