,0, Best Global,Best Classifier
0,1,1.0,Ridge
1,2,1.0,Ridge
2,6,1.0,Ridge
3,7,1.0,Ridge
4,8,1.0,Ridge
5,9,1.0,Ridge
6,14,1.0,Ridge
7,15,1.0,Ridge
8,17,1.0,Ridge
9,18,1.0,Ridge
10,19,1.0,Ridge
11,20,1.0,Ridge
12,22,1.0,Ridge
13,29,1.0,Ridge
14,30,1.0,Ridge
15,31,1.0,Ridge
16,32,1.0,Ridge
17,34,1.0,Ridge
18,36,1.0,Ridge
19,39,1.0,Ridge
20,41,1.0,Ridge
21,45,1.0,Ridge
22,46,1.0,Ridge
23,47,1.0,Ridge
24,49,1.0,Ridge
25,52,1.0,Ridge
26,53,1.0,Ridge
27,55,1.0,Ridge
28,60,1.0,Ridge
29,61,1.0,Ridge
30,63,1.0,Ridge
31,64,1.0,Ridge
32,66,1.0,Ridge
33,67,1.0,Ridge
34,69,1.0,Ridge
35,72,1.0,Ridge
36,73,1.0,Ridge
37,74,1.0,Ridge
38,76,1.0,Ridge
39,78,1.0,Ridge
40,79,1.0,Ridge
41,82,1.0,Ridge
42,83,1.0,Ridge
43,84,1.0,Ridge
44,85,1.0,Ridge
45,87,1.0,Ridge
46,89,1.0,Ridge
47,90,1.0,Ridge
48,91,1.0,Ridge
49,92,1.0,Ridge
50,93,1.0,Ridge
51,95,1.0,Ridge
52,97,1.0,Ridge
53,98,1.0,Ridge
54,100,1.0,Ridge
55,102,1.0,Ridge
56,103,1.0,Ridge
57,105,1.0,Ridge
58,109,1.0,Ridge
59,112,1.0,Ridge
60,117,1.0,Ridge
61,118,1.0,Ridge
62,119,1.0,Ridge
63,121,1.0,Ridge
64,122,1.0,Ridge
65,123,1.0,Ridge
66,124,1.0,Ridge
67,125,1.0,Ridge
68,128,1.0,Ridge
69,130,1.0,Ridge
70,132,1.0,Ridge
71,135,1.0,Ridge
72,136,1.0,Ridge
73,137,1.0,Ridge
74,139,1.0,Ridge
75,141,1.0,Ridge
76,143,1.0,Ridge
77,144,1.0,Ridge
78,149,1.0,Ridge
79,150,1.0,Ridge
80,152,1.0,Ridge
81,156,1.0,Ridge
82,158,1.0,Ridge
83,163,1.0,Ridge
84,164,1.0,Ridge
85,165,1.0,Ridge
86,168,1.0,Ridge
87,169,1.0,Ridge
88,172,1.0,Ridge
89,177,1.0,Ridge
90,178,1.0,Ridge
91,179,1.0,Ridge
92,180,1.0,Ridge
93,182,1.0,Ridge
94,184,1.0,Ridge
95,186,1.0,Ridge
96,187,1.0,Ridge
97,191,1.0,Ridge
98,192,1.0,Ridge
99,196,1.0,Ridge
100,198,1.0,Ridge
101,200,1.0,Ridge
102,201,1.0,Ridge
103,202,1.0,Ridge
104,204,1.0,Ridge
105,205,1.0,Ridge
106,207,1.0,Ridge
107,208,1.0,Ridge
108,209,1.0,Ridge
109,213,1.0,Ridge
110,215,1.0,Ridge
111,219,1.0,Ridge
112,221,1.0,Ridge
113,223,1.0,Ridge
114,228,1.0,Ridge
115,229,1.0,Ridge
116,230,1.0,Ridge
117,233,1.0,Ridge
118,234,1.0,Ridge
119,235,1.0,Ridge
120,236,1.0,Ridge
121,239,1.0,Ridge
122,240,1.0,Ridge
123,242,1.0,Ridge
124,243,1.0,Ridge
125,245,1.0,Ridge
126,246,1.0,Ridge
127,251,1.0,Ridge
128,254,1.0,Ridge
129,255,1.0,Ridge
130,256,1.0,Ridge
131,259,1.0,Ridge
132,260,1.0,Ridge
133,266,1.0,Ridge
134,268,1.0,Ridge
135,269,1.0,Ridge
136,270,1.0,Ridge
137,271,1.0,Ridge
138,272,1.0,Ridge
139,276,1.0,Ridge
140,277,1.0,Ridge
141,280,1.0,Ridge
142,281,1.0,Ridge
143,282,1.0,Ridge
144,285,1.0,Ridge
145,286,1.0,Ridge
146,288,1.0,Ridge
147,289,1.0,Ridge
148,294,1.0,Ridge
149,296,1.0,Ridge
150,297,1.0,Ridge
151,298,1.0,Ridge
152,299,1.0,Ridge
153,301,1.0,Ridge
154,304,1.0,Ridge
155,305,1.0,Ridge
156,307,1.0,Ridge
157,309,1.0,Ridge
158,312,1.0,Ridge
159,313,1.0,Ridge
160,314,1.0,Ridge
161,318,1.0,Ridge
162,320,1.0,Ridge
163,322,1.0,Ridge
164,324,1.0,Ridge
165,325,1.0,Ridge
166,326,1.0,Ridge
167,330,1.0,Ridge
168,332,1.0,Ridge
169,334,1.0,Ridge
170,336,1.0,Ridge
171,338,1.0,Ridge
172,339,1.0,Ridge
173,341,1.0,Ridge
174,342,1.0,Ridge
175,344,1.0,Ridge
176,345,1.0,Ridge
177,350,1.0,Ridge
178,352,1.0,Ridge
179,354,1.0,Ridge
180,356,1.0,Ridge
181,360,1.0,Ridge
182,361,1.0,Ridge
183,367,1.0,Ridge
184,368,1.0,Ridge
185,370,1.0,Ridge
186,375,1.0,Ridge
187,376,1.0,Ridge
188,377,1.0,Ridge
189,378,1.0,Ridge
190,380,1.0,Ridge
191,382,1.0,Ridge
192,385,1.0,Ridge
193,386,1.0,Ridge
194,388,1.0,Ridge
195,389,1.0,Ridge
196,393,1.0,Ridge
197,394,1.0,Ridge
198,395,1.0,Ridge
199,397,1.0,Ridge
200,399,1.0,Ridge
201,400,1.0,Ridge
202,401,1.0,Ridge
203,402,1.0,Ridge
204,407,1.0,Ridge
205,408,1.0,Ridge
206,412,1.0,Ridge
207,413,1.0,Ridge
208,415,1.0,Ridge
209,416,1.0,Ridge
210,421,1.0,Ridge
211,426,1.0,Ridge
212,427,1.0,Ridge
213,428,1.0,Ridge
214,431,1.0,Ridge
215,433,1.0,Ridge
216,435,1.0,Ridge
217,437,1.0,Ridge
218,438,1.0,Ridge
219,439,1.0,Ridge
220,443,1.0,Ridge
221,445,1.0,Ridge
222,446,1.0,Ridge
223,447,1.0,Ridge
224,448,1.0,Ridge
225,451,1.0,Ridge
226,452,1.0,Ridge
227,453,1.0,Ridge
228,456,1.0,Ridge
229,458,1.0,Ridge
230,460,1.0,Ridge
231,462,1.0,Ridge
232,465,1.0,Ridge
233,467,1.0,Ridge
234,468,1.0,Ridge
235,469,1.0,Ridge
236,470,1.0,Ridge
237,471,1.0,Ridge
238,474,1.0,Ridge
239,476,1.0,Ridge
240,478,1.0,Ridge
241,480,1.0,Ridge
242,482,1.0,Ridge
243,483,1.0,Ridge
244,484,1.0,Ridge
245,485,1.0,Ridge
246,487,1.0,Ridge
247,488,1.0,Ridge
248,491,1.0,Ridge
249,494,1.0,Ridge
250,495,1.0,Ridge
251,496,1.0,Ridge
252,497,1.0,Ridge
253,498,1.0,Ridge
254,501,1.0,Ridge
255,502,1.0,Ridge
256,503,1.0,Ridge
257,504,1.0,Ridge
258,514,1.0,Ridge
259,516,1.0,Ridge
260,520,1.0,Ridge
261,521,1.0,Ridge
262,523,1.0,Ridge
263,524,1.0,Ridge
264,525,1.0,Ridge
265,526,1.0,Ridge
266,528,1.0,Ridge
267,532,1.0,Ridge
268,533,1.0,Ridge
269,534,1.0,Ridge
270,536,1.0,Ridge
271,537,1.0,Ridge
272,538,1.0,Ridge
273,539,1.0,Ridge
274,544,1.0,Ridge
275,546,1.0,Ridge
276,548,1.0,Ridge
277,549,1.0,Ridge
278,551,1.0,Ridge
279,553,1.0,Ridge
280,555,1.0,Ridge
281,556,1.0,Ridge
282,557,1.0,Ridge
283,566,1.0,Ridge
284,573,1.0,Ridge
285,574,1.0,Ridge
286,575,1.0,Ridge
287,577,1.0,Ridge
288,580,1.0,Ridge
289,583,1.0,Ridge
290,585,1.0,Ridge
291,588,1.0,Ridge
292,591,1.0,Ridge
293,597,1.0,Ridge
294,599,1.0,Ridge
295,601,1.0,Ridge
296,603,1.0,Ridge
297,605,1.0,Ridge
298,606,1.0,Ridge
299,607,1.0,Ridge
300,608,1.0,Ridge
301,609,1.0,Ridge
302,613,1.0,Ridge
303,614,1.0,Ridge
304,616,1.0,Ridge
305,617,1.0,Ridge
306,618,1.0,Ridge
307,621,1.0,Ridge
308,623,1.0,Ridge
309,625,1.0,Ridge
310,628,1.0,Ridge
311,630,1.0,Ridge
312,631,1.0,Ridge
313,632,1.0,Ridge
314,634,1.0,Ridge
315,637,1.0,Ridge
316,638,1.0,Ridge
317,639,1.0,Ridge
318,641,1.0,Ridge
319,642,1.0,Ridge
320,645,1.0,Ridge
321,646,1.0,Ridge
322,649,1.0,Ridge
323,650,1.0,Ridge
324,652,1.0,Ridge
325,656,1.0,Ridge
326,657,1.0,Ridge
327,663,1.0,Ridge
328,664,1.0,Ridge
329,667,1.0,Ridge
330,668,1.0,Ridge
331,669,1.0,Ridge
332,670,1.0,Ridge
333,672,1.0,Ridge
334,674,1.0,Ridge
335,675,1.0,Ridge
336,677,1.0,Ridge
337,678,1.0,Ridge
338,679,1.0,Ridge
339,682,1.0,Ridge
340,683,1.0,Ridge
341,687,1.0,Ridge
342,688,1.0,Ridge
343,689,1.0,Ridge
344,690,1.0,Ridge
345,691,1.0,Ridge
346,693,1.0,Ridge
347,694,1.0,Ridge
348,695,1.0,Ridge
349,700,1.0,Ridge
350,702,1.0,Ridge
351,704,1.0,Ridge
352,705,1.0,Ridge
353,706,1.0,Ridge
354,708,1.0,Ridge
355,709,1.0,Ridge
356,711,1.0,Ridge
357,712,1.0,Ridge
358,716,1.0,Ridge
359,717,1.0,Ridge
360,718,1.0,Ridge
361,719,1.0,Ridge
362,720,1.0,Ridge
363,721,1.0,Ridge
364,723,1.0,Ridge
365,725,1.0,Ridge
366,728,1.0,Ridge
367,729,1.0,Ridge
368,732,1.0,Ridge
369,735,1.0,Ridge
370,739,1.0,Ridge
371,740,1.0,Ridge
372,741,1.0,Ridge
373,747,1.0,Ridge
374,748,1.0,Ridge
375,752,1.0,Ridge
376,753,1.0,Ridge
377,755,1.0,Ridge
378,756,1.0,Ridge
379,757,1.0,Ridge
380,759,1.0,Ridge
381,761,1.0,Ridge
382,763,1.0,Ridge
383,768,1.0,Ridge
384,773,1.0,Ridge
385,779,1.0,Ridge
386,781,1.0,Ridge
387,782,1.0,Ridge
388,784,1.0,Ridge
389,786,1.0,Ridge
390,787,1.0,Ridge
391,792,1.0,Ridge
392,793,1.0,Ridge
393,794,1.0,Ridge
394,796,1.0,Ridge
395,797,1.0,Ridge
396,799,1.0,Ridge
397,803,1.0,Ridge
398,805,1.0,Ridge
399,806,1.0,Ridge
400,810,1.0,Ridge
401,813,1.0,Ridge
402,815,1.0,Ridge
403,818,1.0,Ridge
404,819,1.0,Ridge
405,820,1.0,Ridge
406,823,1.0,Ridge
407,824,1.0,Ridge
408,827,1.0,Ridge
409,828,1.0,Ridge
410,830,1.0,Ridge
411,831,1.0,Ridge
412,834,1.0,Ridge
413,836,1.0,Ridge
414,839,1.0,Ridge
415,841,1.0,Ridge
416,843,1.0,Ridge
417,845,1.0,Ridge
418,846,1.0,Ridge
419,847,1.0,Ridge
420,848,1.0,Ridge
421,850,1.0,Ridge
422,852,1.0,Ridge
423,853,1.0,Ridge
424,854,1.0,Ridge
425,855,1.0,Ridge
426,857,1.0,Ridge
427,859,1.0,Ridge
428,860,1.0,Ridge
429,861,1.0,Ridge
430,862,1.0,Ridge
431,867,1.0,Ridge
432,868,1.0,Ridge
433,869,1.0,Ridge
434,872,1.0,Ridge
435,873,1.0,Ridge
436,874,1.0,Ridge
437,876,1.0,Ridge
438,881,1.0,Ridge
439,883,1.0,Ridge
440,885,1.0,Ridge
441,886,1.0,Ridge
442,888,1.0,Ridge
443,889,1.0,Ridge
444,890,1.0,Ridge
445,891,1.0,Ridge
446,892,1.0,Ridge
447,894,1.0,Ridge
448,895,1.0,Ridge
449,899,1.0,Ridge
450,902,1.0,Ridge
451,904,1.0,Ridge
452,907,1.0,Ridge
453,909,1.0,Ridge
454,910,1.0,Ridge
455,912,1.0,Ridge
456,914,1.0,Ridge
457,916,1.0,Ridge
458,919,1.0,Ridge
459,922,1.0,Ridge
460,923,1.0,Ridge
461,924,1.0,Ridge
462,925,1.0,Ridge
463,926,1.0,Ridge
464,928,1.0,Ridge
465,929,1.0,Ridge
466,930,1.0,Ridge
467,932,1.0,Ridge
468,933,1.0,Ridge
469,935,1.0,Ridge
470,940,1.0,Ridge
471,942,1.0,Ridge
472,943,1.0,Ridge
473,944,1.0,Ridge
474,946,1.0,Ridge
475,947,1.0,Ridge
476,948,1.0,Ridge
477,949,1.0,Ridge
478,950,1.0,Ridge
479,951,1.0,Ridge
480,956,1.0,Ridge
481,957,1.0,Ridge
482,961,1.0,Ridge
483,962,1.0,Ridge
484,966,1.0,Ridge
485,970,1.0,Ridge
486,971,1.0,Ridge
487,973,1.0,Ridge
488,974,1.0,Ridge
489,978,1.0,Ridge
490,980,1.0,Ridge
491,981,1.0,Ridge
492,984,1.0,Ridge
493,985,1.0,Ridge
494,986,1.0,Ridge
495,987,1.0,Ridge
496,989,1.0,Ridge
497,990,1.0,Ridge
498,991,1.0,Ridge
499,992,1.0,Ridge
500,997,1.0,Ridge
501,998,1.0,Ridge
502,1001,1.0,Ridge
503,1004,1.0,Ridge
504,1005,1.0,Ridge
505,1009,1.0,Ridge
506,1012,1.0,Ridge
507,1017,1.0,Ridge
508,1019,1.0,Ridge
509,1020,1.0,Ridge
510,1021,1.0,Ridge
511,1023,1.0,Ridge
512,1024,1.0,Ridge
513,1025,1.0,Ridge
514,1026,1.0,Ridge
515,1027,1.0,Ridge
516,1028,1.0,Ridge
517,1031,1.0,Ridge
518,1033,1.0,Ridge
519,1035,1.0,Ridge
520,1036,1.0,Ridge
521,1041,1.0,Ridge
522,1044,1.0,Ridge
523,1045,1.0,Ridge
524,1046,1.0,Ridge
525,1047,1.0,Ridge
526,1048,1.0,Ridge
527,1050,1.0,Ridge
528,1051,1.0,Ridge
529,1054,1.0,Ridge
530,1055,1.0,Ridge
531,1056,1.0,Ridge
532,1059,1.0,Ridge
533,1060,1.0,Ridge
534,1064,1.0,Ridge
535,1065,1.0,Ridge
536,1071,1.0,Ridge
537,1072,1.0,Ridge
538,1074,1.0,Ridge
539,1075,1.0,Ridge
540,1078,1.0,Ridge
