,0, Best Global,Best Classifier
0,1,1.0,Ridge
1,5,1.0,Ridge
2,6,1.0,Ridge
3,9,1.0,Ridge
4,10,1.0,Ridge
5,13,1.0,Ridge
6,14,1.0,Ridge
7,15,1.0,Ridge
8,17,1.0,Ridge
9,18,1.0,Ridge
10,19,1.0,Ridge
11,20,1.0,Ridge
12,21,1.0,Ridge
13,23,1.0,Ridge
14,25,1.0,Ridge
15,27,1.0,Ridge
16,29,1.0,Ridge
17,33,1.0,Ridge
18,34,1.0,Ridge
19,38,1.0,Ridge
20,40,1.0,Ridge
21,43,1.0,Ridge
22,44,1.0,Ridge
23,46,1.0,Ridge
24,52,1.0,Ridge
25,53,1.0,Ridge
26,54,1.0,Ridge
27,55,1.0,Ridge
28,56,1.0,Ridge
29,58,1.0,Ridge
30,59,1.0,Ridge
31,62,1.0,Ridge
32,64,1.0,Ridge
33,65,1.0,Ridge
34,67,1.0,Ridge
35,68,1.0,Ridge
36,69,1.0,Ridge
37,70,1.0,Ridge
38,74,1.0,Ridge
39,75,1.0,Ridge
40,76,1.0,Ridge
41,77,1.0,Ridge
42,79,1.0,Ridge
43,81,1.0,Ridge
44,83,1.0,Ridge
45,84,1.0,Ridge
46,86,1.0,Ridge
47,87,1.0,Ridge
48,89,1.0,Ridge
49,90,1.0,Ridge
50,92,1.0,Ridge
51,95,1.0,Ridge
52,98,1.0,Ridge
53,99,1.0,Ridge
54,101,1.0,Ridge
55,104,1.0,Ridge
56,105,1.0,Ridge
57,106,1.0,Ridge
58,108,1.0,Ridge
59,109,1.0,Ridge
60,110,1.0,Ridge
61,112,1.0,Ridge
62,114,1.0,Ridge
63,115,1.0,Ridge
64,116,1.0,Ridge
65,117,1.0,Ridge
66,118,1.0,Ridge
67,119,1.0,Ridge
68,121,1.0,Ridge
69,122,1.0,Ridge
70,124,1.0,Ridge
71,126,1.0,Ridge
72,128,1.0,Ridge
73,129,1.0,Ridge
74,130,1.0,Ridge
75,131,1.0,Ridge
76,133,1.0,Ridge
77,134,1.0,Ridge
78,135,1.0,Ridge
79,137,1.0,Ridge
80,138,1.0,Ridge
81,141,1.0,Ridge
82,144,1.0,Ridge
83,147,1.0,Ridge
84,151,1.0,Ridge
85,158,1.0,Ridge
86,165,1.0,Ridge
87,167,1.0,Ridge
88,168,1.0,Ridge
89,171,1.0,Ridge
90,172,1.0,Ridge
91,174,1.0,Ridge
92,175,1.0,Ridge
93,176,1.0,Ridge
94,177,1.0,Ridge
95,178,1.0,Ridge
96,179,1.0,Ridge
97,180,1.0,Ridge
98,182,1.0,Ridge
99,187,1.0,Ridge
100,191,1.0,Ridge
101,192,1.0,Ridge
102,193,1.0,Ridge
103,194,1.0,Ridge
104,197,1.0,Ridge
105,198,1.0,Ridge
106,200,1.0,Ridge
107,202,1.0,Ridge
108,203,1.0,Ridge
109,204,1.0,Ridge
110,205,1.0,Ridge
111,206,1.0,Ridge
112,207,1.0,Ridge
113,212,1.0,Ridge
114,214,1.0,Ridge
115,215,1.0,Ridge
116,218,1.0,Ridge
117,219,1.0,Ridge
118,221,1.0,Ridge
119,222,1.0,Ridge
120,224,1.0,Ridge
121,226,1.0,Ridge
122,227,1.0,Ridge
123,231,1.0,Ridge
124,233,1.0,Ridge
125,234,1.0,Ridge
126,237,1.0,Ridge
127,240,1.0,Ridge
128,241,1.0,Ridge
129,244,1.0,Ridge
130,245,1.0,Ridge
131,247,1.0,Ridge
132,248,1.0,Ridge
133,249,1.0,Ridge
134,250,1.0,Ridge
135,252,1.0,Ridge
136,256,1.0,Ridge
137,257,1.0,Ridge
138,259,1.0,Ridge
139,260,1.0,Ridge
140,263,1.0,Ridge
141,265,1.0,Ridge
142,266,1.0,Ridge
143,267,1.0,Ridge
144,268,1.0,Ridge
145,271,1.0,Ridge
146,272,1.0,Ridge
147,276,1.0,Ridge
148,277,1.0,Ridge
149,279,1.0,Ridge
150,280,1.0,Ridge
151,281,1.0,Ridge
152,282,1.0,Ridge
153,283,1.0,Ridge
154,284,1.0,Ridge
155,286,1.0,Ridge
156,287,1.0,Ridge
157,289,1.0,Ridge
158,295,1.0,Ridge
159,296,1.0,Ridge
160,297,1.0,Ridge
161,300,1.0,Ridge
162,303,1.0,Ridge
163,304,1.0,Ridge
164,307,1.0,Ridge
165,308,1.0,Ridge
166,312,1.0,Ridge
167,313,1.0,Ridge
168,314,1.0,Ridge
169,316,1.0,Ridge
170,317,1.0,Ridge
171,318,1.0,Ridge
172,321,1.0,Ridge
173,323,1.0,Ridge
174,325,1.0,Ridge
175,326,1.0,Ridge
176,327,1.0,Ridge
177,329,1.0,Ridge
178,333,1.0,Ridge
179,338,1.0,Ridge
180,340,1.0,Ridge
181,341,1.0,Ridge
182,342,1.0,Ridge
183,344,1.0,Ridge
184,347,1.0,Ridge
185,350,1.0,Ridge
186,351,1.0,Ridge
187,352,1.0,Ridge
188,353,1.0,Ridge
189,355,1.0,Ridge
190,358,1.0,Ridge
191,360,1.0,Ridge
192,361,1.0,Ridge
193,362,1.0,Ridge
194,363,1.0,Ridge
195,370,1.0,Ridge
196,371,1.0,Ridge
197,374,1.0,Ridge
198,376,1.0,Ridge
199,377,1.0,Ridge
200,378,1.0,Ridge
201,381,1.0,Ridge
202,382,1.0,Ridge
203,384,1.0,Ridge
204,386,1.0,Ridge
205,387,1.0,Ridge
206,388,1.0,Ridge
207,392,1.0,Ridge
208,395,1.0,Ridge
209,396,1.0,Ridge
210,397,1.0,Ridge
211,398,1.0,Ridge
212,399,1.0,Ridge
213,401,1.0,Ridge
214,402,1.0,Ridge
215,403,1.0,Ridge
216,405,1.0,Ridge
217,406,1.0,Ridge
218,409,1.0,Ridge
219,410,1.0,Ridge
220,411,1.0,Ridge
221,414,1.0,Ridge
222,415,1.0,Ridge
223,416,1.0,Ridge
224,419,1.0,Ridge
225,421,1.0,Ridge
226,422,1.0,Ridge
227,425,1.0,Ridge
228,430,1.0,Ridge
229,432,1.0,Ridge
230,435,1.0,Ridge
231,438,1.0,Ridge
232,439,1.0,Ridge
233,440,1.0,Ridge
234,443,1.0,Ridge
235,445,1.0,Ridge
236,448,1.0,Ridge
237,452,1.0,Ridge
238,455,1.0,Ridge
239,457,1.0,Ridge
240,459,1.0,Ridge
241,462,1.0,Ridge
242,464,1.0,Ridge
243,465,1.0,Ridge
244,467,1.0,Ridge
245,470,1.0,Ridge
246,471,1.0,Ridge
247,472,1.0,Ridge
248,476,1.0,Ridge
249,479,1.0,Ridge
250,480,1.0,Ridge
251,482,1.0,Ridge
252,486,1.0,Ridge
253,487,1.0,Ridge
254,488,1.0,Ridge
255,489,1.0,Ridge
256,490,1.0,Ridge
257,491,1.0,Ridge
258,493,1.0,Ridge
259,496,1.0,Ridge
260,497,1.0,Ridge
261,498,1.0,Ridge
262,500,1.0,Ridge
263,501,1.0,Ridge
264,502,1.0,Ridge
265,503,1.0,Ridge
266,505,1.0,Ridge
267,506,1.0,Ridge
268,508,1.0,Ridge
269,511,1.0,Ridge
270,516,1.0,Ridge
271,517,1.0,Ridge
272,518,1.0,Ridge
273,521,1.0,Ridge
274,522,1.0,Ridge
275,524,1.0,Ridge
276,531,1.0,Ridge
277,535,1.0,Ridge
278,536,1.0,Ridge
279,537,1.0,Ridge
280,538,1.0,Ridge
281,540,1.0,Ridge
282,541,1.0,Ridge
283,543,1.0,Ridge
284,546,1.0,Ridge
285,547,1.0,Ridge
286,549,1.0,Ridge
287,551,1.0,Ridge
288,553,1.0,Ridge
289,555,1.0,Ridge
290,557,1.0,Ridge
291,558,1.0,Ridge
292,559,1.0,Ridge
293,562,1.0,Ridge
294,564,1.0,Ridge
295,565,1.0,Ridge
296,566,1.0,Ridge
297,568,1.0,Ridge
298,578,1.0,Ridge
299,580,1.0,Ridge
300,581,1.0,Ridge
301,587,1.0,Ridge
302,591,1.0,Ridge
303,594,1.0,Ridge
304,595,1.0,Ridge
305,597,1.0,Ridge
306,598,1.0,Ridge
307,604,1.0,Ridge
308,605,1.0,Ridge
309,606,1.0,Ridge
310,607,1.0,Ridge
311,611,1.0,Ridge
312,613,1.0,Ridge
313,615,1.0,Ridge
314,616,1.0,Ridge
315,617,1.0,Ridge
316,618,1.0,Ridge
317,621,1.0,Ridge
318,622,1.0,Ridge
319,624,1.0,Ridge
320,627,1.0,Ridge
321,629,1.0,Ridge
322,630,1.0,Ridge
323,632,1.0,Ridge
324,637,1.0,Ridge
325,643,1.0,Ridge
326,644,1.0,Ridge
327,645,1.0,Ridge
328,646,1.0,Ridge
329,648,1.0,Ridge
330,650,1.0,Ridge
331,651,1.0,Ridge
332,652,1.0,Ridge
333,653,1.0,Ridge
334,654,1.0,Ridge
335,657,1.0,Ridge
336,660,1.0,Ridge
337,665,1.0,Ridge
338,668,1.0,Ridge
339,669,1.0,Ridge
340,673,1.0,Ridge
341,675,1.0,Ridge
342,679,1.0,Ridge
343,681,1.0,Ridge
344,682,1.0,Ridge
345,683,1.0,Ridge
346,684,1.0,Ridge
347,685,1.0,Ridge
348,687,1.0,Ridge
349,689,1.0,Ridge
350,690,1.0,Ridge
351,695,1.0,Ridge
352,697,1.0,Ridge
353,700,1.0,Ridge
354,702,1.0,Ridge
355,703,1.0,Ridge
356,704,1.0,Ridge
357,709,1.0,Ridge
358,710,1.0,Ridge
359,711,1.0,Ridge
360,713,1.0,Ridge
361,714,1.0,Ridge
362,716,1.0,Ridge
363,718,1.0,Ridge
364,721,1.0,Ridge
365,722,1.0,Ridge
366,726,1.0,Ridge
367,728,1.0,Ridge
368,729,1.0,Ridge
369,735,1.0,Ridge
370,738,1.0,Ridge
371,740,1.0,Ridge
372,741,1.0,Ridge
373,742,1.0,Ridge
374,744,1.0,Ridge
375,746,1.0,Ridge
376,749,1.0,Ridge
377,750,1.0,Ridge
378,755,1.0,Ridge
379,758,1.0,Ridge
380,759,1.0,Ridge
381,761,1.0,Ridge
382,765,1.0,Ridge
383,766,1.0,Ridge
384,767,1.0,Ridge
385,770,1.0,Ridge
386,772,1.0,Ridge
387,778,1.0,Ridge
388,781,1.0,Ridge
389,785,1.0,Ridge
390,786,1.0,Ridge
391,787,1.0,Ridge
392,788,1.0,Ridge
393,789,1.0,Ridge
394,791,1.0,Ridge
395,794,1.0,Ridge
396,797,1.0,Ridge
397,799,1.0,Ridge
398,806,1.0,Ridge
399,808,1.0,Ridge
400,809,1.0,Ridge
401,810,1.0,Ridge
402,811,1.0,Ridge
403,814,1.0,Ridge
404,819,1.0,Ridge
405,821,1.0,Ridge
406,822,1.0,Ridge
407,825,1.0,Ridge
408,827,1.0,Ridge
409,828,1.0,Ridge
410,833,1.0,Ridge
411,834,1.0,Ridge
412,835,1.0,Ridge
413,836,1.0,Ridge
414,839,1.0,Ridge
415,840,1.0,Ridge
416,843,1.0,Ridge
417,844,1.0,Ridge
418,845,1.0,Ridge
419,846,1.0,Ridge
420,848,1.0,Ridge
421,850,1.0,Ridge
422,851,1.0,Ridge
423,853,1.0,Ridge
424,858,1.0,Ridge
425,860,1.0,Ridge
426,861,1.0,Ridge
427,863,1.0,Ridge
428,864,1.0,Ridge
429,867,1.0,Ridge
430,868,1.0,Ridge
431,869,1.0,Ridge
432,870,1.0,Ridge
433,871,1.0,Ridge
434,872,1.0,Ridge
435,876,1.0,Ridge
436,878,1.0,Ridge
437,880,1.0,Ridge
438,881,1.0,Ridge
439,882,1.0,Ridge
440,885,1.0,Ridge
441,886,1.0,Ridge
442,887,1.0,Ridge
443,891,1.0,Ridge
444,894,1.0,Ridge
445,896,1.0,Ridge
446,897,1.0,Ridge
447,901,1.0,Ridge
448,902,1.0,Ridge
449,906,1.0,Ridge
450,907,1.0,Ridge
451,910,1.0,Ridge
452,914,1.0,Ridge
453,915,1.0,Ridge
454,918,1.0,Ridge
455,920,1.0,Ridge
456,921,1.0,Ridge
457,924,1.0,Ridge
458,926,1.0,Ridge
459,928,1.0,Ridge
460,930,1.0,Ridge
461,932,1.0,Ridge
462,933,1.0,Ridge
463,934,1.0,Ridge
464,935,1.0,Ridge
465,936,1.0,Ridge
466,937,1.0,Ridge
467,938,1.0,Ridge
468,939,1.0,Ridge
469,940,1.0,Ridge
470,944,1.0,Ridge
471,945,1.0,Ridge
472,953,1.0,Ridge
473,954,1.0,Ridge
474,956,1.0,Ridge
475,958,1.0,Ridge
476,959,1.0,Ridge
477,960,1.0,Ridge
478,961,1.0,Ridge
479,963,1.0,Ridge
480,964,1.0,Ridge
481,966,1.0,Ridge
482,968,1.0,Ridge
483,970,1.0,Ridge
484,971,1.0,Ridge
485,973,1.0,Ridge
486,974,1.0,Ridge
487,977,1.0,Ridge
488,980,1.0,Ridge
489,981,1.0,Ridge
490,982,1.0,Ridge
491,983,1.0,Ridge
492,985,1.0,Ridge
493,986,1.0,Ridge
494,988,1.0,Ridge
495,989,1.0,Ridge
496,990,1.0,Ridge
497,996,1.0,Ridge
498,999,1.0,Ridge
499,1000,1.0,Ridge
500,1001,1.0,Ridge
501,1002,1.0,Ridge
502,1004,1.0,Ridge
503,1005,1.0,Ridge
504,1006,1.0,Ridge
505,1010,1.0,Ridge
506,1011,1.0,Ridge
507,1016,1.0,Ridge
508,1017,1.0,Ridge
509,1018,1.0,Ridge
510,1021,1.0,Ridge
511,1024,1.0,Ridge
512,1028,1.0,Ridge
513,1029,1.0,Ridge
514,1030,1.0,Ridge
515,1033,1.0,Ridge
516,1034,1.0,Ridge
517,1037,1.0,Ridge
518,1038,1.0,Ridge
519,1039,1.0,Ridge
520,1042,1.0,Ridge
521,1045,1.0,Ridge
522,1046,1.0,Ridge
523,1048,1.0,Ridge
524,1050,1.0,Ridge
525,1052,1.0,Ridge
526,1055,1.0,Ridge
527,1056,1.0,Ridge
528,1057,1.0,Ridge
529,1060,1.0,Ridge
530,1061,1.0,Ridge
531,1062,1.0,Ridge
532,1063,1.0,Ridge
533,1064,1.0,Ridge
534,1067,1.0,Ridge
535,1070,1.0,Ridge
536,1074,1.0,Ridge
537,1077,1.0,Ridge
538,1078,1.0,Ridge
539,1083,1.0,Ridge
540,1085,1.0,Ridge
541,1092,1.0,Ridge
542,1093,1.0,Ridge
543,1096,1.0,Ridge
544,1098,1.0,Ridge
545,1099,1.0,Ridge
546,1100,1.0,Ridge
547,1101,1.0,Ridge
548,1102,1.0,Ridge
549,1103,1.0,Ridge
550,1105,1.0,Ridge
551,1107,1.0,Ridge
552,1108,1.0,Ridge
553,1110,1.0,Ridge
554,1112,1.0,Ridge
555,1114,1.0,Ridge
556,1115,1.0,Ridge
557,1118,1.0,Ridge
558,1120,1.0,Ridge
559,1124,1.0,Ridge
560,1125,1.0,Ridge
561,1129,1.0,Ridge
562,1130,1.0,Ridge
563,1134,1.0,Ridge
564,1136,1.0,Ridge
565,1138,1.0,Ridge
566,1140,1.0,Ridge
567,1144,1.0,Ridge
568,1145,1.0,Ridge
569,1147,1.0,Ridge
570,1149,1.0,Ridge
571,1150,1.0,Ridge
572,1152,1.0,Ridge
573,1158,1.0,Ridge
574,1159,1.0,Ridge
575,1162,1.0,Ridge
576,1163,1.0,Ridge
577,1164,1.0,Ridge
578,1167,1.0,Ridge
579,1168,1.0,Ridge
580,1173,1.0,Ridge
581,1176,1.0,Ridge
582,1181,1.0,Ridge
583,1182,1.0,Ridge
584,1184,1.0,Ridge
585,1190,1.0,Ridge
586,1195,1.0,Ridge
587,1196,1.0,Ridge
588,1199,1.0,Ridge
589,1201,1.0,Ridge
590,1203,1.0,Ridge
591,1204,1.0,Ridge
592,1205,1.0,Ridge
593,1206,1.0,Ridge
594,1207,1.0,Ridge
595,1208,1.0,Ridge
596,1209,1.0,Ridge
597,1210,1.0,Ridge
598,1211,1.0,Ridge
599,1212,1.0,Ridge
600,1213,1.0,Ridge
601,1220,1.0,Ridge
602,1222,1.0,Ridge
603,1223,1.0,Ridge
604,1225,1.0,Ridge
605,1228,1.0,Ridge
606,1232,1.0,Ridge
607,1233,1.0,Ridge
608,1234,1.0,Ridge
609,1236,1.0,Ridge
610,1237,1.0,Ridge
611,1238,1.0,Ridge
612,1241,1.0,Ridge
613,1242,1.0,Ridge
614,1243,1.0,Ridge
615,1244,1.0,Ridge
616,1246,1.0,Ridge
617,1250,1.0,Ridge
618,1252,1.0,Ridge
619,1254,1.0,Ridge
620,1255,1.0,Ridge
621,1257,1.0,Ridge
622,1258,1.0,Ridge
623,1262,1.0,Ridge
624,1269,1.0,Ridge
625,1271,1.0,Ridge
626,1272,1.0,Ridge
627,1274,1.0,Ridge
628,1276,1.0,Ridge
629,1277,1.0,Ridge
630,1278,1.0,Ridge
631,1280,1.0,Ridge
632,1285,1.0,Ridge
633,1286,1.0,Ridge
634,1287,1.0,Ridge
635,1289,1.0,Ridge
636,1291,1.0,Ridge
637,1292,1.0,Ridge
638,1293,1.0,Ridge
639,1294,1.0,Ridge
640,1295,1.0,Ridge
641,1296,1.0,Ridge
642,1298,1.0,Ridge
643,1305,1.0,Ridge
644,1308,1.0,Ridge
645,1310,1.0,Ridge
646,1311,1.0,Ridge
647,1314,1.0,Ridge
648,1315,1.0,Ridge
649,1317,1.0,Ridge
650,1318,1.0,Ridge
651,1319,1.0,Ridge
652,1325,1.0,Ridge
653,1330,1.0,Ridge
654,1331,1.0,Ridge
655,1332,1.0,Ridge
656,1333,1.0,Ridge
657,1334,1.0,Ridge
658,1336,1.0,Ridge
659,1342,1.0,Ridge
660,1344,1.0,Ridge
661,1349,1.0,Ridge
662,1350,1.0,Ridge
663,1351,1.0,Ridge
664,1355,1.0,Ridge
665,1356,1.0,Ridge
666,1359,1.0,Ridge
667,1361,1.0,Ridge
668,1365,1.0,Ridge
669,1366,1.0,Ridge
670,1368,1.0,Ridge
671,1369,1.0,Ridge
672,1370,1.0,Ridge
673,1371,1.0,Ridge
674,1372,1.0,Ridge
675,1374,1.0,Ridge
676,1375,1.0,Ridge
677,1376,1.0,Ridge
678,1377,1.0,Ridge
679,1378,1.0,Ridge
680,1379,1.0,Ridge
681,1380,1.0,Ridge
682,1381,1.0,Ridge
683,1382,1.0,Ridge
684,1385,1.0,Ridge
