,0, Best Global,Best Classifier
0,0,1.0,Ridge
1,1,1.0,Ridge
2,2,1.0,Ridge
3,4,1.0,Ridge
4,5,1.0,Ridge
5,6,1.0,Ridge
6,8,1.0,Ridge
7,9,1.0,Ridge
8,10,1.0,Ridge
9,11,1.0,Ridge
10,12,1.0,Ridge
11,14,1.0,Ridge
12,16,1.0,Ridge
13,17,1.0,Ridge
14,18,1.0,Ridge
15,19,1.0,Ridge
16,21,1.0,Ridge
17,23,1.0,Ridge
18,25,1.0,Ridge
19,27,1.0,Ridge
20,28,1.0,Ridge
21,29,1.0,Ridge
22,31,1.0,Ridge
23,33,1.0,Ridge
24,34,1.0,Ridge
25,35,1.0,Ridge
26,36,1.0,Ridge
27,37,1.0,Ridge
28,38,1.0,Ridge
29,39,1.0,Ridge
30,40,1.0,Ridge
31,42,1.0,Ridge
32,43,1.0,Ridge
33,44,1.0,Ridge
34,45,1.0,Ridge
35,47,1.0,Ridge
36,48,1.0,Ridge
37,49,1.0,Ridge
38,50,1.0,Ridge
39,51,1.0,Ridge
40,52,1.0,Ridge
41,54,1.0,Ridge
42,55,1.0,Ridge
43,58,1.0,Ridge
44,59,1.0,Ridge
45,60,1.0,Ridge
46,61,1.0,Ridge
47,62,1.0,Ridge
48,63,1.0,Ridge
49,64,1.0,Ridge
50,65,1.0,Ridge
51,66,1.0,Ridge
52,67,1.0,Ridge
53,68,1.0,Ridge
54,70,1.0,Ridge
55,71,1.0,Ridge
56,72,1.0,Ridge
57,73,1.0,Ridge
58,74,1.0,Ridge
59,75,1.0,Ridge
60,76,1.0,Ridge
61,78,1.0,Ridge
62,79,1.0,Ridge
63,80,1.0,Ridge
64,81,1.0,Ridge
65,82,1.0,Ridge
66,83,1.0,Ridge
67,84,1.0,Ridge
68,85,1.0,Ridge
69,86,1.0,Ridge
70,87,1.0,Ridge
71,88,1.0,Ridge
72,89,1.0,Ridge
73,91,1.0,Ridge
74,92,1.0,Ridge
75,93,1.0,Ridge
76,95,1.0,Ridge
77,96,1.0,Ridge
78,98,1.0,Ridge
79,99,1.0,Ridge
80,100,1.0,Ridge
81,101,1.0,Ridge
82,102,1.0,Ridge
83,103,1.0,Ridge
84,104,1.0,Ridge
85,105,1.0,Ridge
86,106,1.0,Ridge
87,107,1.0,Ridge
88,108,1.0,Ridge
89,109,1.0,Ridge
90,110,1.0,Ridge
91,111,1.0,Ridge
92,112,1.0,Ridge
93,113,1.0,Ridge
94,114,1.0,Ridge
95,115,1.0,Ridge
96,116,1.0,Ridge
97,118,1.0,Ridge
98,120,1.0,Ridge
99,121,1.0,Ridge
100,122,1.0,Ridge
101,123,1.0,Ridge
102,124,1.0,Ridge
103,125,1.0,Ridge
104,127,1.0,Ridge
105,130,1.0,Ridge
106,132,1.0,Ridge
107,133,1.0,Ridge
108,134,1.0,Ridge
109,135,1.0,Ridge
110,136,1.0,Ridge
111,137,1.0,Ridge
112,138,1.0,Ridge
113,139,1.0,Ridge
114,140,1.0,Ridge
115,142,1.0,Ridge
116,143,1.0,Ridge
117,144,1.0,Ridge
118,145,1.0,Ridge
119,146,1.0,Ridge
120,147,1.0,Ridge
121,148,1.0,Ridge
122,149,1.0,Ridge
123,150,1.0,Ridge
124,151,1.0,Ridge
125,152,1.0,Ridge
126,153,1.0,Ridge
127,154,1.0,Ridge
128,155,1.0,Ridge
129,156,1.0,Ridge
130,157,1.0,Ridge
131,158,1.0,Ridge
132,159,1.0,Ridge
133,160,1.0,Ridge
134,161,1.0,Ridge
135,162,1.0,Ridge
136,164,1.0,Ridge
137,165,1.0,Ridge
138,166,1.0,Ridge
139,167,1.0,Ridge
140,168,1.0,Ridge
141,171,1.0,Ridge
142,172,1.0,Ridge
143,173,1.0,Ridge
144,174,1.0,Ridge
145,175,1.0,Ridge
146,176,1.0,Ridge
147,177,1.0,Ridge
148,178,1.0,Ridge
149,180,1.0,Ridge
150,181,1.0,Ridge
151,182,1.0,Ridge
152,183,1.0,Ridge
153,184,1.0,Ridge
154,185,1.0,Ridge
155,187,1.0,Ridge
156,188,1.0,Ridge
157,189,1.0,Ridge
158,190,1.0,Ridge
159,191,1.0,Ridge
160,192,1.0,Ridge
161,193,1.0,Ridge
162,195,1.0,Ridge
163,197,1.0,Ridge
164,198,1.0,Ridge
165,199,1.0,Ridge
166,200,1.0,Ridge
167,202,1.0,Ridge
168,203,1.0,Ridge
169,205,1.0,Ridge
170,206,1.0,Ridge
171,208,1.0,Ridge
172,209,1.0,Ridge
173,210,1.0,Ridge
174,211,1.0,Ridge
175,212,1.0,Ridge
176,213,1.0,Ridge
177,214,1.0,Ridge
178,215,1.0,Ridge
179,216,1.0,Ridge
180,217,1.0,Ridge
181,218,1.0,Ridge
182,219,1.0,Ridge
183,220,1.0,Ridge
184,221,1.0,Ridge
185,222,1.0,Ridge
186,223,1.0,Ridge
187,224,1.0,Ridge
188,225,1.0,Ridge
189,226,1.0,Ridge
190,228,1.0,Ridge
191,229,1.0,Ridge
192,230,1.0,Ridge
193,231,1.0,Ridge
194,232,1.0,Ridge
195,233,1.0,Ridge
196,234,1.0,Ridge
197,235,1.0,Ridge
198,236,1.0,Ridge
199,237,1.0,Ridge
200,239,1.0,Ridge
201,241,1.0,Ridge
202,242,1.0,Ridge
203,243,1.0,Ridge
204,244,1.0,Ridge
205,245,1.0,Ridge
206,246,1.0,Ridge
207,247,1.0,Ridge
208,248,1.0,Ridge
209,249,1.0,Ridge
210,250,1.0,Ridge
211,253,1.0,Ridge
212,254,1.0,Ridge
213,255,1.0,Ridge
214,256,1.0,Ridge
215,257,1.0,Ridge
216,258,1.0,Ridge
217,259,1.0,Ridge
218,260,1.0,Ridge
219,261,1.0,Ridge
220,262,1.0,Ridge
221,263,1.0,Ridge
222,264,1.0,Ridge
223,265,1.0,Ridge
224,266,1.0,Ridge
225,267,1.0,Ridge
226,268,1.0,Ridge
227,269,1.0,Ridge
228,270,1.0,Ridge
229,271,1.0,Ridge
230,272,1.0,Ridge
231,274,1.0,Ridge
232,275,1.0,Ridge
233,276,1.0,Ridge
234,279,1.0,Ridge
235,280,1.0,Ridge
236,281,1.0,Ridge
237,282,1.0,Ridge
238,283,1.0,Ridge
239,284,1.0,Ridge
240,286,1.0,Ridge
241,288,1.0,Ridge
242,289,1.0,Ridge
243,290,1.0,Ridge
244,292,1.0,Ridge
245,293,1.0,Ridge
246,294,1.0,Ridge
247,295,1.0,Ridge
248,296,1.0,Ridge
249,297,1.0,Ridge
250,298,1.0,Ridge
251,299,1.0,Ridge
252,301,1.0,Ridge
253,302,1.0,Ridge
254,303,1.0,Ridge
255,304,1.0,Ridge
256,305,1.0,Ridge
257,306,1.0,Ridge
258,308,1.0,Ridge
259,310,1.0,Ridge
260,311,1.0,Ridge
261,312,1.0,Ridge
262,313,1.0,Ridge
263,314,1.0,Ridge
264,316,1.0,Ridge
265,317,1.0,Ridge
266,318,1.0,Ridge
267,319,1.0,Ridge
268,320,1.0,Ridge
269,321,1.0,Ridge
270,322,1.0,Ridge
271,323,1.0,Ridge
272,324,1.0,Ridge
273,325,1.0,Ridge
274,326,1.0,Ridge
275,327,1.0,Ridge
276,328,1.0,Ridge
277,329,1.0,Ridge
